YearStart,LocationAbbr,LocationDesc,Data_Value,QuestionID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2022,AL,Alabama,46.1,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,AK,Alaska,45.0,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,AZ,Arizona,35.6,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,AR,Arkansas,39.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,CA,California,31.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,CO,Colorado,30.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,CT,Connecticut,35.7,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,DE,Delaware,42.8,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,DC,District of Columbia,37.2,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,FL,Florida,40.0,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,GA,Georgia,42.5,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,GU,Guam,38.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,HI,Hawaii,32.3,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,ID,Idaho,31.3,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,IL,Illinois,37.8,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,IN,Indiana,39.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,IA,Iowa,46.7,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,KS,Kansas,39.5,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,KY,Kentucky,44.1,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,LA,Louisiana,43.8,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,ME,Maine,32.5,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,MD,Maryland,36.2,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,MA,Massachusetts,33.0,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,MI,Michigan,39.1,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,MN,Minnesota,40.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,MS,Mississippi,41.2,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,MO,Missouri,43.5,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,MT,Montana,32.6,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,US,National,38.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,NE,Nebraska,38.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,NV,Nevada,32.8,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,NH,New Hampshire,35.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,NJ,New Jersey,33.0,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,NM,New Mexico,37.1,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,NY,New York,34.3,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,NC,North Carolina,41.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,ND,North Dakota,34.1,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,OH,Ohio,43.3,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,OK,Oklahoma,38.6,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,OR,Oregon,36.7,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,PA,Pennsylvania,43.1,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,PR,Puerto Rico,36.6,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,RI,Rhode Island,35.5,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,SC,South Carolina,37.2,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,SD,South Dakota,38.9,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,TN,Tennessee,45.2,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,TX,Texas,39.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,UT,Utah,36.1,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,VT,Vermont,32.6,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,VI,Virgin Islands,28.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,VA,Virginia,37.9,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,WA,Washington,36.4,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,WV,West Virginia,40.8,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,WI,Wisconsin,41.5,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,WY,Wyoming,36.6,Q036,Income,"$15,000 - $24,999",INC,INC1525
2022,AL,Alabama,38.0,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,AK,Alaska,33.3,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,AZ,Arizona,35.5,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,AR,Arkansas,35.1,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,CA,California,34.0,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,CO,Colorado,26.7,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,CT,Connecticut,42.7,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,DE,Delaware,41.3,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,DC,District of Columbia,41.5,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,FL,Florida,31.8,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,GA,Georgia,44.0,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,GU,Guam,30.4,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,HI,Hawaii,25.6,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,ID,Idaho,34.7,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,IL,Illinois,30.0,Q036,Income,"$25,000 - $34,999",INC,INC2535
2022,IN,Indiana,40.1,Q036,Income,"$25,000 - $34,999",INC,INC2535
