YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2017,2017,NJ,New Jersey,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,19.8,19.8,,,10.5,34.4,59.0,,,,,,Other,"(40.130570048, -74.273691288)",PA,PA1,Q046,VALUE,34,Race/Ethnicity,Other,RACE,RACEOTH
2013,2013,MI,Michigan,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Hawaiian/Pacific Islander,"(44.661319543001, -84.71439027)",PA,PA1,Q046,VALUE,26,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,10.9,10.9,,,9.9,12.0,5296.0,Total,,,,,,"(18.220833, -66.590149)",PA,PA1,Q046,VALUE,72,Total,Total,OVR,OVERALL
2017,2017,TX,Texas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,39.0,39.0,,,27.2,52.3,217.0,,,,,,Asian,"(31.827240407, -99.426770206)",PA,PA1,Q046,VALUE,48,Race/Ethnicity,Asian,RACE,RACEASN
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,8.8,8.8,,,6.6,11.6,922.0,,,,,Data not reported,,"(18.220833, -66.590149)",PA,PA1,Q046,VALUE,72,Income,Data not reported,INC,INCNR
2015,2015,GU,Guam,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,21.1,21.1,,,15.2,28.4,266.0,,55 - 64,,,,,"(13.444304, 144.793731)",PA,PA1,Q046,VALUE,66,Age (years),55 - 64,AGEYR,AGEYR5564
2015,2015,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,30.4,30.4,,,30.1,30.7,390656.0,Total,,,,,,,PA,PA1,Q046,VALUE,59,Total,Total,OVR,OVERALL
2015,2015,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,29.9,29.9,,,29.0,30.8,47545.0,,,,,"$35,000 - $49,999",,,PA,PA1,Q046,VALUE,59,Income,"$35,000 - $49,999",INC,INC3550
2015,2015,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,26.8,26.8,,,26.2,27.4,63677.0,,45 - 54,,,,,,PA,PA1,Q046,VALUE,59,Age (years),45 - 54,AGEYR,AGEYR4554
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,Asian,"(18.220833, -66.590149)",PA,PA1,Q046,VALUE,72,Race/Ethnicity,Asian,RACE,RACEASN
2017,2017,TX,Texas,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,23.0,23.0,,,19.9,26.6,2540.0,,,High school graduate,,,,"(31.827240407, -99.426770206)",PA,PA1,Q046,VALUE,48,Education,High school graduate,EDU,EDUHSGRAD
2015,2015,GU,Guam,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,41.4,41.4,,,31.3,52.2,177.0,,18 - 24,,,,,"(13.444304, 144.793731)",PA,PA1,Q046,VALUE,66,Age (years),18 - 24,AGEYR,AGEYR1824
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,8.3,8.3,,,6.6,10.5,1344.0,,,High school graduate,,,,"(18.220833, -66.590149)",PA,PA1,Q046,VALUE,72,Education,High school graduate,EDU,EDUHSGRAD
2015,2015,GU,Guam,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,35.3,35.3,,,27.2,44.4,206.0,,,,,"$35,000 - $49,999",,"(13.444304, 144.793731)",PA,PA1,Q046,VALUE,66,Income,"$35,000 - $49,999",INC,INC3550
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,,,~,Data not available because sample size is insufficient.,,,,,,,,,American Indian/Alaska Native,"(18.220833, -66.590149)",PA,PA1,Q046,VALUE,72,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA
2015,2015,PR,Puerto Rico,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,10.8,10.8,,,9.8,12.0,5244.0,,,,,,Hispanic,"(18.220833, -66.590149)",PA,PA1,Q046,VALUE,72,Race/Ethnicity,Hispanic,RACE,RACEHIS
2015,2015,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,28.1,28.1,,,27.4,28.8,62994.0,,,,,Data not reported,,,PA,PA1,Q046,VALUE,59,Income,Data not reported,INC,INCNR
2015,2015,US,National,Behavioral Risk Factor Surveillance System,Physical Activity,Physical Activity - Behavior,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,,Value,22.6,22.6,,,21.6,23.5,31931.0,,,,,"Less than $15,000",,,PA,PA1,Q046,VALUE,59,Income,"Less than $15,000",INC,INCLESS15
